n,f,runs,mean_rounds,std_rounds,ratio_log2n,ratio_theory
1887066,0.6,30,82.9333,4.47162,3.97805,1.59122
1887066,0.8,30,156.1,7.2414,7.48763,1.49753
2264480,0,30,36.8333,1.11675,1.74477,1.74477
2264480,0.2,30,44.6333,1.75152,2.11425,1.6914
2264480,0.4,30,57.6333,2.88257,2.73005,1.63803
2264480,0.6,30,83.3,5.31848,3.94586,1.57834
2264480,0.8,30,161,8.90951,7.62645,1.52529
2717376,0,30,37.2667,1.17248,1.74357,1.74357
2717376,0.2,30,45.1333,1.94286,2.11162,1.6893
2717376,0.4,30,58.5667,2.90877,2.74012,1.64407
2717376,0.6,30,83.6667,3.88927,3.91445,1.56578
2717376,0.8,30,159.9,6.87499,7.48113,1.49623
3260851,0,30,37.7667,1.16511,1.74548,1.74548
3260851,0.2,30,46.3333,2.50975,2.14141,1.71313
3260851,0.4,30,59.2667,2.1324,2.73916,1.64349
3260851,0.6,30,84.2667,3.60013,3.8946,1.55784
3260851,0.8,30,162.4,7.19483,7.50573,1.50115
3913021,0,30,38.6667,2.13886,1.76561,1.76561
3913021,0.2,30,45.6667,1.58296,2.08525,1.6682
3913021,0.4,30,59.0667,1.92861,2.69713,1.61828
3913021,0.6,30,86.3667,4.55982,3.94371,1.57748
3913021,0.8,30,164.467,9.92987,7.50994,1.50199
4695626,0,30,38.4333,1.07265,1.73413,1.73413
4695626,0.2,30,46.4333,1.40647,2.09509,1.67608
4695626,0.4,30,60.3333,1.80676,2.72227,1.63336
4695626,0.6,30,86.9667,4.0978,3.92398,1.56959
4695626,0.8,30,166.8,7.33156,7.5261,1.50522
5634751,0,30,39.3333,1.39786,1.75392,1.75392
5634751,0.2,30,47.2667,1.55216,2.10768,1.68614
5634751,0.4,30,60.6667,2.15492,2.7052,1.62312
5634751,0.6,30,89.1,5.54822,3.97308,1.58923
5634751,0.8,30,170.767,8.50024,7.6147,1.52294
6761701,0,30,39.5667,1.90613,1.74387,1.74387
6761701,0.2,30,48.4667,2.47377,2.13613,1.70891
6761701,0.4,30,62.3333,3.70771,2.7473,1.64838
6761701,0.6,30,89.5667,5.21062,3.94759,1.57904
6761701,0.8,30,172,10.6415,7.58078,1.51616
8114042,0,30,40.4667,2.08001,1.7631,1.7631
8114042,0.2,30,48.2333,1.35655,2.10149,1.68119
8114042,0.4,30,62.4667,2.77592,2.72162,1.63297
8114042,0.6,30,89.8667,4.58433,3.91542,1.56617
8114042,0.8,30,172.567,8.74025,7.51859,1.50372
9736850,0,30,40.3333,1.06134,1.73738,1.73738
9736850,0.2,30,49.2,1.27035,2.11932,1.69545
9736850,0.4,30,62.7667,3.37008,2.70371,1.62223
9736850,0.6,30,89.7,2.85452,3.86388,1.54555
9736850,0.8,30,175.933,10.1095,7.57843,1.51569
11684220,0,15,41,1.36277,1.74631,1.74631
11684220,0.2,15,50.2667,2.54858,2.14101,1.7128
11684220,0.4,15,64.2,2.5967,2.73447,1.64068
11684220,0.6,15,90.8,4.75395,3.86744,1.54698
11684220,0.8,15,173.6,7.97138,7.39414,1.47883
14021064,0,15,40.6667,0.816497,1.71292,1.71292
14021064,0.2,15,50,1.88982,2.10605,1.68484
14021064,0.4,15,63.6667,2.28869,2.68171,1.60902
14021064,0.6,15,91,3.18479,3.83302,1.53321
14021064,0.8,15,177.533,7.35689,7.47789,1.49558
16825277,0,15,42.0667,1.16292,1.75248,1.75248
16825277,0.2,15,50.4667,2.16685,2.10242,1.68193
16825277,0.4,15,65,2.42015,2.70787,1.62472
16825277,0.6,15,94.7333,4.28397,3.94654,1.57862
16825277,0.8,15,178.933,8.38763,7.45427,1.49085
20190333,0,15,42.0667,0.96115,1.73348,1.73348
20190333,0.2,15,51.5333,1.59762,2.12358,1.69887
20190333,0.4,15,65.2667,2.28244,2.68951,1.6137
20190333,0.6,15,93.8667,4.0332,3.86805,1.54722
20190333,0.8,15,183.533,7.17004,7.56303,1.51261
24228399,0,15,42.4667,0.99043,1.7312,1.7312
24228399,0.2,15,52,2.75162,2.11984,1.69587
24228399,0.4,15,67.4,3.06594,2.74763,1.64858
24228399,0.6,15,96.4667,4.43793,3.93257,1.57303
24228399,0.8,15,191.2,11.7425,7.79448,1.5589
29074079,0,15,42.3333,0.723747,1.70746,1.70746
29074079,0.2,15,52.5333,1.68466,2.11886,1.69509
29074079,0.4,15,67.4667,2.35635,2.72117,1.6327
29074079,0.6,15,97.4667,3.85202,3.93118,1.57247
29074079,0.8,15,192.4,11.413,7.76018,1.55204
34888895,0,15,44.2,1.97122,1.76403,1.76403
34888895,0.2,15,52.8667,1.88478,2.10992,1.68793
34888895,0.4,15,68.2667,2.91466,2.72453,1.63472
34888895,0.6,15,99.6667,7.35495,3.97771,1.59109
34888895,0.8,15,189,8.9682,7.54302,1.5086
41866674,0,15,43.4667,1.12546,1.71674,1.71674
41866674,0.2,15,53.2667,1.2228,2.1038,1.68304
41866674,0.4,15,67.5333,1.99523,2.66727,1.60036
41866674,0.6,15,98.0667,4.21675,3.8732,1.54928
41866674,0.8,15,192.067,9.14539,7.58578,1.51716
50240009,0,8,44.375,0.744024,1.7346,1.7346
50240009,0.2,8,53.5,1.51186,2.09129,1.67303
50240009,0.4,8,69.5,3.6645,2.71672,1.63003
50240009,0.6,8,100.75,4.9208,3.93826,1.57531
50240009,0.8,8,190.625,7.1101,7.45143,1.49029
60288011,0,8,44.625,1.18773,1.72662,1.72662
60288011,0.2,8,53.5,1.19523,2.07,1.656
60288011,0.4,8,69.75,3.01188,2.69874,1.61925
60288011,0.6,8,101.625,3.5431,3.93204,1.57282
60288011,0.8,8,191.625,6.11643,7.41429,1.48286
72345614,0,8,45.75,1.66905,1.75231,1.75231
72345614,0.2,8,55,1.30931,2.1066,1.68528
72345614,0.4,8,71.625,2.92465,2.74337,1.64602
72345614,0.6,8,101.25,3.15096,3.87806,1.55122
72345614,0.8,8,195.25,4.09704,7.47844,1.49569
86814736,0,8,46,0.92582,1.74431,1.74431
86814736,0.2,8,55.875,2.85044,2.11877,1.69502
86814736,0.4,8,70.875,3.09089,2.68757,1.61254
86814736,0.6,8,101.75,2.76457,3.85834,1.54334
86814736,0.8,8,198.625,12.3165,7.53182,1.50636
104177684,0,8,45.75,1.16496,1.7177,1.7177
104177684,0.2,8,56.25,1.98206,2.11192,1.68954
104177684,0.4,8,71.75,3.1053,2.69388,1.61633
104177684,0.6,8,105.25,3.45378,3.95165,1.58066
104177684,0.8,8,197,8.91227,7.39643,1.47929
125013221,0,8,46.625,1.68502,1.73343,1.73343
125013221,0.2,8,56.625,1.92261,2.10521,1.68417
125013221,0.4,8,72.5,1.19523,2.69542,1.61725
125013221,0.6,8,102.5,3.02372,3.81076,1.5243
125013221,0.8,8,203.25,9.28516,7.55646,1.51129
150015865,0,8,47.625,0.517549,1.75346,1.75346
150015865,0.2,8,56.625,0.916125,2.08483,1.66786
150015865,0.4,8,72.125,2.29518,2.65551,1.5933
150015865,0.6,8,103.375,3.46152,3.80607,1.52243
150015865,0.8,8,198.625,5.99851,7.313,1.4626
180019038,0,8,47.5,0.92582,1.73209,1.73209
180019038,0.2,8,56.75,1.48805,2.06939,1.65551
180019038,0.4,8,73,1.60357,2.66194,1.59717
180019038,0.6,8,107.625,5.52753,3.92454,1.56982
180019038,0.8,8,209.5,11.0195,7.63941,1.52788
